trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-107.49452854785318,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 1.0}",25,0,-61.27124955803952,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 1.0}",20,0,-76.9748799223386,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 1.0}",25,0,-219.69335760808693,"{0: 10, 1: 3, 2: 6, 3: 4, 4: 2}",0
5,False,"{'a': 0.2, 'e': 1.0}",20,0,-59.777800215663675,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.94630812835135,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.2, 'e': 1.0}",35,2,-130.76359189898804,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 2}",1
8,False,"{'a': 0.2, 'e': 1.0}",25,0,-135.36992828738053,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.2, 'e': 1.0}",20,0,-165.02948546001187,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.2, 'e': 1.0}",25,0,-187.55091729564884,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.2, 'e': 1.0}",20,0,-167.36594763817874,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.2, 'e': 1.0}",25,0,-102.49830711268433,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.9999999999999999}",30,0,-202.1159457452393,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9999999999999996}",20,0,-118.65048510601389,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.9999999999999987}",25,0,-125.3337096645586,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9999999999999959}",25,0,-235.82186634016043,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
17,False,"{'a': 0.2, 'e': 0.9999999999999877}",25,0,-114.96260325660364,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
