trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.47716299891869,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.27988738742867,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-202.40030424045,"{0: 22, 1: 8, 2: 0, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.63477345820053,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.69517214192794,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.3885118024145,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.62181499988748,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.39988102012867,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.7413124282819,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.26252575753288,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.79491212219075,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.88558227755614,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.31117915263764,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.78606288209141,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.13173139790942,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.20125801587938,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.149296851484664,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.549350419356873,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.37875612163319,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.83479396134903,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.69234112959083,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-148.64846598369084,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.47712598500111,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.32066671258545,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.25213960812036,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.7187186936157,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.82080915602718,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.4257521526594,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.34121248746678,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.199071057514374,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
